title,authors,year,doi,keywords,description,url,repository
plastic-waste-database/GDP_FDI_Dataset: GDP_FDI,machine learning,2024,10.5281/zenodo.13342593,,No description provided.,,Zenodo
RGB and RGNIR Plastic Waste Database,machine learning,2024,10.5281/zenodo.13827422,,RGB and RGNIR Plastic Waste Database,,Zenodo
plastic-waste-database/Rainfall-and-Kalumpang-Malaysia: Rainfall and Terrain Data,machine learning,2024,10.5281/zenodo.13235113,,<p>You can use this Malaysian rainfall and terrain data on scattered data interpolation or other suitable techniques</p>,,Zenodo
mushrooms,UCI Machine Learning,2022,10.5281/zenodo.6000557,,<p>Dataset mushrooms</p>,,Zenodo
TiffSlide - Cloud native openslide-python replacement,"Poehlmann, Andreas, Villalba, Santiago",2022,10.5281/zenodo.6327079,,<p>TiffSlide is a Python module that acts as a drop-in replacement for openslide-python.</p>,,Zenodo
Sensor Position Comparison Dataset,"Arne Küderle, Nils Roth, Jovana Zlatanovic, Markus Zrenner, Björn Eskofier, Felix Kluge",2021,10.5281/zenodo.5747173,,"<pre>&nbsp;</pre>

<p>A dataset containing IMU recordings with full motion capture reference from 14 participants (approx. 10000 strides). Each participant was equipped with&nbsp;15&nbsp;synchronised IMUs (6 at different positions at each shoe, 1 at each ankle, and 1 and the lower back).</p>

<p>The main goal of the dataset is to compare the recorded signals of the 6 sensors attached to each foot.</p>

<p>For more information about the dataset check the `README.md` file in the dataset.</p>

<p>If you are using the dataset, please cite the following paper:</p>

<p>K&uuml;derle, Arne, Nils Roth, Jovana Zlatanovic, Markus Zrenner, Bjoern Eskofier, and Felix Kluge.<br>
&ldquo;The Placement of Foot-Mounted IMU Sensors Does Affect the Accuracy of Spatial Parameters during Regular Walking.&rdquo;<br>
PLOS ONE 17, no. 6 (June 9, 2022): e0269567. https://doi.org/10.1371/journal.pone.0269567.</p>",,Zenodo
ZMaster-EjerciciosDiarios-TestScript,JA-Cuartas-Micieces,2022,10.5281/zenodo.5982937,Test of a,<p>Script e input csv para ejercicio del m&aacute;ster en Data Science</p>,,Zenodo
opium-sh/prl: First release of Peoples's Reinforcement Learning (PRL),"Piotr Tempczyk, Maciej Sliwowski, Piotr Kozakowski, Piotr Smuda, Bartosz Topolski, Filip Nabrdalik, Tomasz Malisz",2020,10.5281/zenodo.3662113,"reinforcement learning, machine learning, deep learning, neural networks, python",<p>Open-source library for a reinforcement learning research.</p>,,Zenodo
Jordskælvssikring af bygninger,Peter Nikolaj Weakley,2017,10.5281/zenodo.7791491,"Resonance, earthquake frequencies, earthquake simulation, sinusoidal regression application","<p>This study investigates the causes of buildings collapsing during earthquakes, with the purpose of trying to understand this problem. There are multiple significant factors that play a role in these collapses, but a key one is resonance. To understand the precise effect of resonance, this study uses a combination of Newton&rsquo;s second law and Hooke&rsquo;s law to model harmonic oscillation in a building, and a simple sine function to model longitudinal seismic waves. A differential equation is formulated, the solution to which describes the motion of the building&rsquo;s top in response to the earthquake waves. By graphing this mathematical function, the amplitude of the building oscillations that result for various ratios between the building&rsquo;s natural frequency and the earthquake frequency can be observed.However, to fully understand the effect of resonance it is critical to have a physical reference. The study therefore includes a scientific experiment which tests the effects of simulated earthquake movement on a model building. The experiment verifies that resonance does in fact play a major role in the amplitude of the oscillation at the top of the building, while also showing evidence of a dampening effect (not modelled in the mathematical analysis). Finally, the study examines engineering techniques used to minimise the effects of earthquakes on buildings.</p>",,Zenodo
mmRadPose,"Engel, Lukas, Müller, Jonas, Feria Rendon, Eduardo Javier, Dorschky, Eva, Krauss, Daniel",2025,10.5281/zenodo.14738837,,"<p>Welcome to the official repository for our <em>mmRadPose</em> datatset.</p>
<p>A detailed explanation of the dataset is provided in the corresponding publication.</p>
<p>If you use our dataset, please cite the following paper:</p>
<p>""Advanced Millimeter Wave Radar-Based Human Pose Estimation Enabled by a Deep Learning Neural Network Trained With Optical Motion Capture Ground Truth Data""</p>
<p>LUKAS ENGEL, JONAS MUELLER , EDUARDO JAVIER FERIA RENDON, EVA DORSCHKY, DANIEL KRAUSS, INGRID ULLMANN, BJOERN M. ESKOFIER, AND MARTIN VOSSIEK&nbsp;</p>
<p>published in IEEE Journal of Microwaves (<a href=""https://ieeexplore.ieee.org/document/10904474"">https://ieeexplore.ieee.org/document/10904474</a>).</p>
<p>L. Engel&nbsp;<em>et al</em>., ""Advanced Millimeter Wave Radar-Based Human Pose Estimation Enabled by a Deep Learning Neural Network Trained With Optical Motion Capture Ground Truth Data,"" in <em>IEEE Journal of Microwaves</em>, doi: 10.1109/JMW.2025.3535525. keywords: {Radar;Pose estimation;Deep learning;Skeleton;Laser radar;Sensors;Radar measurements;Motion capture;Cameras;Synchronization;Human pose estimation;radar;optical motion capture;millimeter wave;target list;point cloud;machine learning;deep learning},</p>
<p><strong>Datasets:</strong></p>
<p><strong>POINTCLOUDS&nbsp;</strong></p>
<p>The pointcloud dataset contains radar pointclouds processed from raw radar data and skeleton ground truth data.</p>
<p>mmRadPose_pointclouds/<br>├── p1/ &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<br>│ &nbsp; ├── angle0/ # angles &nbsp; &nbsp;<br>│ &nbsp; │ &nbsp; ├── 0 # activities<br>│ &nbsp; │ &nbsp; │ &nbsp; &nbsp;├── 0 # recordings<br>│ &nbsp; │ &nbsp; │ &nbsp; &nbsp;│ &nbsp; &nbsp;├── skeleton.npy<br>│ &nbsp; │ &nbsp; │ &nbsp; &nbsp;│ &nbsp; &nbsp;├── targetlist_64.npy<br>│ &nbsp; │ &nbsp; │ &nbsp; &nbsp;├── 1&nbsp;<br>│ &nbsp; │ &nbsp; ├── 1<br>│ &nbsp; │ &nbsp; ├── 2<br>│ &nbsp; │ &nbsp; ├── ...&nbsp;<br>│ &nbsp; │ &nbsp; ├── 10<br>│ &nbsp; │ &nbsp; ├── 11<br>│ &nbsp; ├── angle1/<br>│ &nbsp; ├── angle2/<br>├── p2 &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;<br>├── ...&nbsp;<br>├── p12&nbsp;</p>
<p><br><strong>RAW RADAR DATA</strong></p>
<p>The raw radar data dataset contains &nbsp;parsed () and cutted radar and skeleton ground truth (obained via OMC) data.</p>
<p>radar folder:<br>&nbsp; &nbsp; Contains the radar data in numpy compressed archive file format (e.g. data_cube_parsed_p1_an0_ac0_r0.npz)</p>
<p>skeletons folder:<br>&nbsp; &nbsp; Contains the skeleton GT data in numpy array file format (e.g. skeleton_p1_an0_ac0_r0.npy)</p>
<p>File relation:<br>&nbsp; &nbsp; All files have an unique ID (e.g. p1_an0_ac0_r0) to identify related radar and skeleton recordings.<br>&nbsp; &nbsp;&nbsp;<br>&nbsp; &nbsp; ID meaning:<br>&nbsp; &nbsp; &nbsp; &nbsp; p X = participant X<br>&nbsp; &nbsp; &nbsp; &nbsp; an X = angle X<br>&nbsp; &nbsp; &nbsp; &nbsp; ac X = action X<br>&nbsp; &nbsp; &nbsp; &nbsp; r X = recording X</p>
<p>&nbsp;</p>
<p>Edit:</p>
<p>The skeleton files contain 26 keypoints provided by the OMC. However, only 24 keypoints are used in the paper.</p>",,Zenodo
